,Date,ID,Tag,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1063,2004-04-24 01:00:00,multisensor1,ItalianCity,"2,6",1349,251,"13,4",1097,148,707,100,1763,1442,"16,1","57,4","1,0451"
1064,2004-04-24 02:00:00,multisensor1,ItalianCity,"1,8",1161,173,"9,0",938,109,827,87,1597,1243,"16,3","55,3","1,0178"
1065,2004-04-24 03:00:00,multisensor1,ItalianCity,"1,1",1022,113,"5,8",802,-200,916,-200,1481,1078,"15,7","53,6","0,9483"
1066,2004-04-24 04:00:00,multisensor1,ItalianCity,-200,948,55,"3,8",700,45,1045,60,1430,939,"16,9","49,8","0,9514"
1067,2004-04-24 05:00:00,multisensor1,ItalianCity,"0,7",933,65,"3,7",697,71,1045,65,1403,937,"14,8","57,7","0,9644"
1068,2004-04-24 06:00:00,multisensor1,ItalianCity,"0,9",1021,119,"5,7",800,75,931,64,1483,1019,"14,0","59,7","0,9499"
1069,2004-04-24 07:00:00,multisensor1,ItalianCity,"1,5",1134,151,"10,0",979,106,794,73,1639,1140,"14,6","56,8","0,9385"
1070,2004-04-24 08:00:00,multisensor1,ItalianCity,"2,5",1311,305,"15,0",1147,166,681,86,1838,1351,"16,7","51,9","0,9788"
1071,2004-04-24 09:00:00,multisensor1,ItalianCity,3,1409,415,"15,6",1169,188,685,105,1874,1459,"20,0","45,0","1,0390"
1072,2004-04-24 10:00:00,multisensor1,ItalianCity,"2,6",1301,321,"12,3",1059,161,787,107,1727,1297,"23,9","33,7","0,9837"
1073,2004-04-24 11:00:00,multisensor1,ItalianCity,"2,6",1354,358,"14,4",1130,139,765,114,1808,1291,"26,8","29,5","1,0209"
1074,2004-04-24 12:00:00,multisensor1,ItalianCity,"2,6",1391,350,"14,6",1136,134,738,105,1840,1296,"27,2","32,4","1,1493"
1075,2004-04-24 13:00:00,multisensor1,ItalianCity,"1,9",1200,238,"8,7",929,84,879,74,1623,972,"26,9","32,1","1,1217"
1076,2004-04-24 14:00:00,multisensor1,ItalianCity,2,1338,215,"11,0",1016,98,798,95,1766,1194,"24,3","41,8","1,2561"
1077,2004-04-24 15:00:00,multisensor1,ItalianCity,"1,7",1223,192,"9,0",938,91,884,89,1610,880,"25,6","36,0","1,1629"
1078,2004-04-24 16:00:00,multisensor1,ItalianCity,"1,9",1278,205,"10,7",1003,99,845,95,1691,909,"27,0","31,8","1,1176"
1079,2004-04-24 17:00:00,multisensor1,ItalianCity,"1,8",1257,165,"9,9",973,90,860,93,1634,839,"27,5","31,6","1,1417"
1080,2004-04-24 18:00:00,multisensor1,ItalianCity,"2,8",1497,283,"15,7",1171,147,725,123,1899,1248,"24,9","38,1","1,1838"
1081,2004-04-24 19:00:00,multisensor1,ItalianCity,"3,5",1567,467,"19,4",1280,177,661,134,1970,1476,"23,4","39,7","1,1276"
1082,2004-04-24 20:00:00,multisensor1,ItalianCity,"3,4",1503,485,"16,8",1203,162,651,126,1863,1502,"21,2","50,8","1,2631"
1083,2004-04-24 21:00:00,multisensor1,ItalianCity,2,1169,202,"6,8",850,88,906,79,1584,873,"15,6","73,5","1,2953"
1084,2004-04-24 22:00:00,multisensor1,ItalianCity,"1,1",1007,64,"3,0",650,53,1157,54,1404,528,"12,9","79,7","1,1774"
1085,2004-04-24 23:00:00,multisensor1,ItalianCity,"1,3",1004,71,"3,2",667,68,1157,69,1365,492,"11,5","76,9","1,0436"
1086,2004-04-25 00:00:00,multisensor1,ItalianCity,"1,2",967,84,"3,1",661,61,1181,67,1321,463,"12,2","66,8","0,9455"
1087,2004-04-25 01:00:00,multisensor1,ItalianCity,"1,3",984,70,"3,9",707,71,1131,73,1359,494,"12,4","64,1","0,9209"
1088,2004-04-25 02:00:00,multisensor1,ItalianCity,1,931,61,"3,6",689,63,1161,73,1317,503,"12,7","58,7","0,8605"
1089,2004-04-25 03:00:00,multisensor1,ItalianCity,"1,3",966,92,"4,5",737,-200,1083,-200,1363,581,"12,6","58,6","0,8529"
1090,2004-04-25 04:00:00,multisensor1,ItalianCity,-200,777,40,"1,2",521,23,1535,33,1121,350,"12,5","51,2","0,7374"
1091,2004-04-25 05:00:00,multisensor1,ItalianCity,"0,3",763,20,"0,7",471,14,1783,20,1098,305,"12,5","50,9","0,7346"
1092,2004-04-25 06:00:00,multisensor1,ItalianCity,"0,5",804,31,"1,1",505,34,1718,37,1148,329,"12,8","49,3","0,7285"
1093,2004-04-25 07:00:00,multisensor1,ItalianCity,"0,6",830,41,"1,4",535,42,1496,50,1184,375,"13,5","48,6","0,7487"
1094,2004-04-25 08:00:00,multisensor1,ItalianCity,"0,6",833,40,"1,6",553,40,1476,45,1180,373,"14,4","45,9","0,7476"
1095,2004-04-25 09:00:00,multisensor1,ItalianCity,"0,8",875,35,"2,3",603,48,1370,48,1206,385,"15,1","43,9","0,7487"
1096,2004-04-25 10:00:00,multisensor1,ItalianCity,1,882,44,"2,5",621,61,1346,56,1216,403,"16,6","38,6","0,7236"
1097,2004-04-25 11:00:00,multisensor1,ItalianCity,"0,9",862,71,"2,7",635,58,1320,58,1193,393,"17,2","35,0","0,6789"
1098,2004-04-25 12:00:00,multisensor1,ItalianCity,1,863,66,"2,7",636,57,1290,52,1185,388,"17,4","33,9","0,6683"
1099,2004-04-25 13:00:00,multisensor1,ItalianCity,"0,8",830,46,"2,2",596,54,1389,52,1145,371,"17,9","30,7","0,6234"
1100,2004-04-25 14:00:00,multisensor1,ItalianCity,"0,7",807,50,"2,0",584,41,1488,44,1104,347,"18,3","27,2","0,5675"
1101,2004-04-25 15:00:00,multisensor1,ItalianCity,"0,9",873,51,"3,4",675,57,1343,59,1181,396,"19,4","25,7","0,5738"
1102,2004-04-25 16:00:00,multisensor1,ItalianCity,"1,3",931,64,"4,5",739,83,1274,74,1219,474,"20,2","24,1","0,5630"
1103,2004-04-25 17:00:00,multisensor1,ItalianCity,"1,4",918,138,"4,7",748,81,1228,76,1219,505,"19,6","24,9","0,5625"
1104,2004-04-25 18:00:00,multisensor1,ItalianCity,"1,5",1001,137,"6,0",811,98,1122,83,1344,625,"18,5","27,8","0,5843"
1105,2004-04-25 19:00:00,multisensor1,ItalianCity,"2,7",1169,303,"11,7",1039,124,883,100,1550,941,"17,8","30,3","0,6129"
1106,2004-04-25 20:00:00,multisensor1,ItalianCity,"2,5",1085,204,"8,2",907,133,976,101,1419,893,"16,6","34,0","0,6353"
1107,2004-04-25 21:00:00,multisensor1,ItalianCity,"1,4",940,95,"5,1",769,100,1103,90,1310,731,"15,5","37,0","0,6447"
1108,2004-04-25 22:00:00,multisensor1,ItalianCity,"2,8",1126,347,"13,0",1083,116,875,93,1654,955,"14,8","39,5","0,6595"
1109,2004-04-25 23:00:00,multisensor1,ItalianCity,"2,1",978,252,"7,0",858,102,1013,79,1379,761,"14,5","42,0","0,6896"
1110,2004-04-26 00:00:00,multisensor1,ItalianCity,"1,1",893,66,"3,9",703,55,1192,57,1283,515,"14,1","44,9","0,7206"
1111,2004-04-26 01:00:00,multisensor1,ItalianCity,"0,7",838,45,"2,2",601,33,1361,43,1220,434,"14,2","45,5","0,7333"
1112,2004-04-26 02:00:00,multisensor1,ItalianCity,"0,4",803,36,"1,3",527,17,1513,25,1152,369,"14,1","45,3","0,7247"
1113,2004-04-26 03:00:00,multisensor1,ItalianCity,"0,3",775,26,"0,8",477,-200,1722,-200,1115,335,"14,0","44,3","0,7038"
1114,2004-04-26 04:00:00,multisensor1,ItalianCity,-200,767,17,"0,6",454,10,1826,17,1091,319,"14,1","43,0","0,6890"
1115,2004-04-26 05:00:00,multisensor1,ItalianCity,"0,4",809,21,"1,2",521,35,1575,44,1158,378,"13,9","43,9","0,6923"
1116,2004-04-26 06:00:00,multisensor1,ItalianCity,"0,8",898,60,"3,4",676,70,1271,72,1307,517,"14,0","43,8","0,6959"
1117,2004-04-26 07:00:00,multisensor1,ItalianCity,"1,9",1053,155,"7,5",880,116,982,91,1464,786,"14,4","43,6","0,7113"
1118,2004-04-26 08:00:00,multisensor1,ItalianCity,"2,1",1033,235,"8,9",934,134,917,89,1490,844,"15,0","41,7","0,7093"
1119,2004-04-26 09:00:00,multisensor1,ItalianCity,"1,4",941,89,"5,3",780,113,1080,84,1343,720,"16,3","38,4","0,7052"
1120,2004-04-26 10:00:00,multisensor1,ItalianCity,"1,4",941,76,"5,4",782,110,1102,83,1328,668,"18,3","32,3","0,6760"
1121,2004-04-26 11:00:00,multisensor1,ItalianCity,"1,3",917,101,"5,2",772,98,1098,78,1311,605,"18,8","31,7","0,6821"
1122,2004-04-26 12:00:00,multisensor1,ItalianCity,"1,5",977,109,"6,6",837,96,1038,80,1413,646,"19,6","30,9","0,6968"
1123,2004-04-26 13:00:00,multisensor1,ItalianCity,"1,6",994,143,"6,9",851,95,1018,75,1436,640,"20,2","30,7","0,7176"
1124,2004-04-26 14:00:00,multisensor1,ItalianCity,"1,3",942,104,"5,4",785,86,1065,77,1365,571,"19,7","32,5","0,7396"
1125,2004-04-26 15:00:00,multisensor1,ItalianCity,"1,4",981,107,"6,0",810,86,1060,77,1395,605,"20,7","31,6","0,7602"
1126,2004-04-26 16:00:00,multisensor1,ItalianCity,"1,5",984,133,"6,4",832,91,1034,81,1410,636,"20,0","32,7","0,7545"
1127,2004-04-26 17:00:00,multisensor1,ItalianCity,"2,2",1116,171,"10,7",1003,119,864,101,1625,886,"18,6","35,4","0,7535"
1128,2004-04-26 18:00:00,multisensor1,ItalianCity,"3,2",1181,405,"13,9",1114,147,787,119,1685,1032,"18,3","35,9","0,7501"
1129,2004-04-26 19:00:00,multisensor1,ItalianCity,3,1163,334,"12,5",1068,135,811,111,1616,977,"17,8","37,5","0,7568"
1130,2004-04-26 20:00:00,multisensor1,ItalianCity,"2,6",1081,236,"9,3",950,124,907,109,1496,924,"17,3","38,8","0,7584"
1131,2004-04-26 21:00:00,multisensor1,ItalianCity,"1,6",1017,99,"6,7",842,89,1000,101,1441,846,"17,3","38,8","0,7596"
1132,2004-04-26 22:00:00,multisensor1,ItalianCity,"1,5",966,93,"5,3",778,79,1057,89,1359,755,"16,4","40,8","0,7542"
1133,2004-04-26 23:00:00,multisensor1,ItalianCity,"1,2",924,82,"4,0",709,63,1158,75,1318,610,"16,0","41,4","0,7487"
1134,2004-04-27 00:00:00,multisensor1,ItalianCity,"0,8",861,51,"2,2",601,39,1351,51,1225,439,"15,4","43,0","0,7482"
1135,2004-04-27 01:00:00,multisensor1,ItalianCity,"0,7",826,41,"1,7",560,25,1424,39,1197,402,"15,7","42,5","0,7539"
1136,2004-04-27 02:00:00,multisensor1,ItalianCity,"0,5",846,31,"1,6",557,19,1385,32,1212,406,"15,6","43,4","0,7651"
1137,2004-04-27 03:00:00,multisensor1,ItalianCity,"0,5",842,41,"1,5",545,-200,1423,-200,1224,424,"15,2","45,8","0,7864"
1138,2004-04-27 04:00:00,multisensor1,ItalianCity,-200,909,41,"2,5",617,34,1236,49,1302,558,"14,7","49,9","0,8280"
1139,2004-04-27 05:00:00,multisensor1,ItalianCity,"0,7",930,38,"3,3",670,58,1143,68,1339,746,"15,5","47,3","0,8282"
1140,2004-04-27 06:00:00,multisensor1,ItalianCity,"1,4",1120,111,"8,9",935,112,843,76,1593,1126,"14,4","53,1","0,8677"
1141,2004-04-27 07:00:00,multisensor1,ItalianCity,"4,1",1518,584,"23,4",1389,314,589,122,2101,1703,"15,9","48,5","0,8704"
1142,2004-04-27 08:00:00,multisensor1,ItalianCity,"4,6",1461,633,"23,8",1398,240,630,129,2050,1628,"18,1","40,3","0,8294"
1143,2004-04-27 09:00:00,multisensor1,ItalianCity,"1,9",1075,145,"7,9",896,128,938,94,1487,936,"19,6","35,9","0,8100"
1144,2004-04-27 10:00:00,multisensor1,ItalianCity,"1,9",1061,155,"8,2",908,141,968,99,1455,890,"22,8","29,1","0,7960"
1145,2004-04-27 11:00:00,multisensor1,ItalianCity,"1,7",1066,128,"8,8",931,118,979,81,1474,757,"24,8","25,3","0,7793"
1146,2004-04-27 12:00:00,multisensor1,ItalianCity,"2,4",1179,255,"14,6",1137,132,829,87,1651,949,"27,2","22,0","0,7785"
1147,2004-04-27 13:00:00,multisensor1,ItalianCity,3,1251,411,"18,0",1238,150,773,107,1779,1109,"28,2","20,4","0,7677"
1148,2004-04-27 14:00:00,multisensor1,ItalianCity,2,1120,173,"12,0",1048,121,898,95,1560,870,"25,4","24,2","0,7733"
1149,2004-04-27 15:00:00,multisensor1,ItalianCity,"2,7",1187,277,"14,8",1142,149,840,110,1651,1011,"25,7","23,8","0,7737"
1150,2004-04-27 16:00:00,multisensor1,ItalianCity,"2,2",1145,259,"12,5",1066,120,903,99,1592,885,"27,2","22,1","0,7811"
1151,2004-04-27 17:00:00,multisensor1,ItalianCity,"2,9",1215,274,"15,5",1164,155,817,113,1689,1015,"27,0","22,3","0,7860"
1152,2004-04-27 18:00:00,multisensor1,ItalianCity,"3,4",1317,377,"17,7",1231,172,766,127,1798,1155,"24,5","27,8","0,8433"
1153,2004-04-27 19:00:00,multisensor1,ItalianCity,"3,9",1388,457,"21,6",1341,177,702,131,1955,1315,"23,7","30,2","0,8718"
1154,2004-04-27 20:00:00,multisensor1,ItalianCity,"3,6",1295,555,"18,9",1266,181,716,137,1849,1359,"21,5","34,5","0,8746"
1155,2004-04-27 21:00:00,multisensor1,ItalianCity,"2,5",1153,279,"12,5",1066,135,811,122,1651,1194,"19,9","37,8","0,8675"
1156,2004-04-27 22:00:00,multisensor1,ItalianCity,"1,8",1078,137,"8,8",932,99,905,100,1511,951,"18,9","40,6","0,8771"
1157,2004-04-27 23:00:00,multisensor1,ItalianCity,2,1133,203,"10,9",1012,111,806,108,1608,1054,"17,9","43,5","0,8840"
1158,2004-04-28 00:00:00,multisensor1,ItalianCity,"1,3",1055,101,"8,0",899,72,880,83,1504,980,"17,4","46,3","0,9112"
1159,2004-04-28 01:00:00,multisensor1,ItalianCity,1,953,86,"4,4",735,54,999,74,1396,898,"18,1","44,7","0,9186"
1160,2004-04-28 02:00:00,multisensor1,ItalianCity,"0,6",892,51,"2,8",639,41,1139,64,1359,803,"16,5","50,1","0,9331"
1161,2004-04-28 03:00:00,multisensor1,ItalianCity,"0,6",895,47,"2,7",632,-200,1167,-200,1347,684,"14,2","56,9","0,9141"
1162,2004-04-28 04:00:00,multisensor1,ItalianCity,-200,859,35,"2,2",602,24,1209,40,1321,644,"14,7","56,2","0,9341"
1163,2004-04-28 05:00:00,multisensor1,ItalianCity,"0,5",856,33,"2,5",619,29,1191,39,1345,677,"16,3","52,8","0,9722"
1164,2004-04-28 06:00:00,multisensor1,ItalianCity,"1,1",1030,95,"7,5",880,76,892,69,1539,996,"13,9","60,7","0,9597"
1165,2004-04-28 07:00:00,multisensor1,ItalianCity,"5,5",1689,754,"30,4",1560,321,529,104,2396,1736,"15,0","58,3","0,9876"
1166,2004-04-28 08:00:00,multisensor1,ItalianCity,"4,2",1486,588,"22,0",1351,274,571,100,2112,1692,"16,1","54,8","0,9960"
1167,2004-04-28 09:00:00,multisensor1,ItalianCity,"4,6",1592,658,"24,7",1423,322,577,146,2155,2108,"19,3","46,4","1,0248"
1168,2004-04-28 10:00:00,multisensor1,ItalianCity,"3,4",1469,372,"18,4",1252,255,692,155,1903,1807,"24,2","33,8","1,0097"
1169,2004-04-28 11:00:00,multisensor1,ItalianCity,"2,8",1364,386,"16,8",1205,196,723,139,1850,1566,"26,7","28,7","0,9895"
1170,2004-04-28 12:00:00,multisensor1,ItalianCity,"2,5",1285,333,"14,2",1123,136,755,121,1741,1293,"27,4","28,2","1,0098"
1171,2004-04-28 13:00:00,multisensor1,ItalianCity,"2,4",1311,293,"15,7",1170,119,748,108,1787,1219,"28,1","26,9","1,0094"
1172,2004-04-28 14:00:00,multisensor1,ItalianCity,"3,2",1416,511,"21,9",1348,169,684,126,1969,1330,"27,7","26,5","0,9693"
1173,2004-04-28 15:00:00,multisensor1,ItalianCity,"3,5",1387,559,"20,8",1318,197,701,145,1890,1299,"28,4","23,4","0,8935"
1174,2004-04-28 16:00:00,multisensor1,ItalianCity,"2,9",1329,375,"16,2",1185,140,768,121,1750,1111,"28,4","26,0","0,9922"
1175,2004-04-28 17:00:00,multisensor1,ItalianCity,"3,6",1496,509,"19,8",1292,178,680,145,1878,1300,"27,3","30,0","1,0752"
1176,2004-04-28 18:00:00,multisensor1,ItalianCity,"4,8",1676,790,"28,9",1525,223,567,160,2226,1653,"24,3","37,3","1,1199"
1177,2004-04-28 19:00:00,multisensor1,ItalianCity,"5,4",1724,816,"28,3",1510,222,562,155,2252,1716,"23,1","42,2","1,1746"
1178,2004-04-28 20:00:00,multisensor1,ItalianCity,"5,3",1642,804,"24,9",1426,265,597,162,2117,1720,"21,8","43,6","1,1226"
1179,2004-04-28 21:00:00,multisensor1,ItalianCity,"2,7",1267,332,"13,1",1088,151,764,129,1740,1339,"19,8","46,8","1,0702"
1180,2004-04-28 22:00:00,multisensor1,ItalianCity,"1,4",1146,156,"8,6",923,79,845,96,1575,1166,"19,6","49,8","1,1221"
1181,2004-04-28 23:00:00,multisensor1,ItalianCity,"1,6",1216,143,"9,5",960,87,788,92,1662,1256,"17,9","56,2","1,1420"
1182,2004-04-29 00:00:00,multisensor1,ItalianCity,"1,5",1128,117,"7,8",891,88,838,89,1574,1125,"17,4","55,6","1,0963"
1183,2004-04-29 01:00:00,multisensor1,ItalianCity,1,1042,84,"5,2",772,51,923,61,1495,968,"16,8","59,5","1,1269"
1184,2004-04-29 02:00:00,multisensor1,ItalianCity,"0,6",926,60,"2,8",639,34,1115,54,1409,814,"15,9","60,1","1,0806"
1185,2004-04-29 03:00:00,multisensor1,ItalianCity,"0,4",898,76,"2,3",608,-200,1154,-200,1386,743,"15,6","61,2","1,0784"
1186,2004-04-29 04:00:00,multisensor1,ItalianCity,-200,889,40,"2,5",617,31,1168,44,1382,758,"14,6","63,4","1,0446"
1187,2004-04-29 05:00:00,multisensor1,ItalianCity,"0,8",959,64,"4,4",734,76,1038,57,1470,861,"13,3","67,0","1,0203"
1188,2004-04-29 06:00:00,multisensor1,ItalianCity,"1,5",1097,148,"9,4",956,139,827,68,1620,1047,"12,9","66,5","0,9846"
1189,2004-04-29 07:00:00,multisensor1,ItalianCity,"4,9",1674,635,"29,8",1547,293,539,95,2405,1665,"14,8","61,3","1,0237"
1190,2004-04-29 08:00:00,multisensor1,ItalianCity,"7,2",1771,1129,"36,2",1690,368,461,125,2572,1982,"16,1","56,5","1,0274"
1191,2004-04-29 09:00:00,multisensor1,ItalianCity,"3,5",1408,475,"18,0",1241,250,648,135,1886,1711,"18,6","47,8","1,0143"
1192,2004-04-29 10:00:00,multisensor1,ItalianCity,"2,1",1156,220,"10,9",1009,145,875,118,1583,1204,"23,8","30,2","0,8771"
1193,2004-04-29 11:00:00,multisensor1,ItalianCity,"1,5",1042,105,"9,0",941,110,971,91,1491,871,"25,4","25,0","0,7966"
1194,2004-04-29 12:00:00,multisensor1,ItalianCity,2,1167,190,"14,4",1128,104,829,89,1716,1040,"25,6","25,5","0,8234"
1195,2004-04-29 13:00:00,multisensor1,ItalianCity,"3,8",1398,516,"22,3",1360,205,656,129,2037,1439,"24,9","29,9","0,9325"
1196,2004-04-29 14:00:00,multisensor1,ItalianCity,"3,4",1458,346,"20,9",1321,201,654,122,2023,1516,"22,4","37,9","1,0160"
1197,2004-04-29 15:00:00,multisensor1,ItalianCity,"4,4",1554,565,"23,1",1379,266,614,138,2151,1693,"21,7","44,0","1,1242"
1198,2004-04-29 16:00:00,multisensor1,ItalianCity,"3,9",1495,483,"21,2",1331,246,615,136,2069,1635,"21,4","44,4","1,1176"
1199,2004-04-29 17:00:00,multisensor1,ItalianCity,"4,9",1560,651,"24,8",1424,247,579,143,2176,1688,"20,8","45,3","1,1016"
1200,2004-04-29 18:00:00,multisensor1,ItalianCity,"5,4",1664,657,"28,6",1519,271,553,145,2312,1820,"20,2","48,6","1,1354"
1201,2004-04-29 19:00:00,multisensor1,ItalianCity,"6,5",1761,830,"32,6",1610,332,502,146,2488,2006,"20,2","50,8","1,1924"
1202,2004-04-29 20:00:00,multisensor1,ItalianCity,"4,3",1524,435,"19,2",1275,245,608,122,2046,1740,"18,6","57,6","1,2233"
1203,2004-04-29 21:00:00,multisensor1,ItalianCity,"2,9",1398,209,"16,3",1189,180,646,112,1931,1577,"18,2","58,8","1,2173"
1204,2004-04-29 22:00:00,multisensor1,ItalianCity,"2,7",1342,202,"13,7",1106,156,694,102,1856,1443,"17,8","61,0","1,2352"
1205,2004-04-29 23:00:00,multisensor1,ItalianCity,"2,8",1433,174,"13,6",1104,172,681,97,1876,1411,"17,0","70,7","1,3554"
1206,2004-04-30 00:00:00,multisensor1,ItalianCity,"2,3",1297,170,"11,1",1019,137,733,85,1823,1217,"16,2","76,9","1,4051"
1207,2004-04-30 01:00:00,multisensor1,ItalianCity,"1,7",1179,116,"7,6",884,91,830,76,1696,1086,"15,7","78,6","1,3943"
1208,2004-04-30 02:00:00,multisensor1,ItalianCity,"1,2",1097,91,"5,9",809,80,897,74,1628,1050,"15,7","78,4","1,3917"
1209,2004-04-30 03:00:00,multisensor1,ItalianCity,1,1054,71,"5,0",761,-200,963,-200,1598,965,"15,7","77,4","1,3683"
1210,2004-04-30 04:00:00,multisensor1,ItalianCity,-200,1017,59,"4,0",711,46,1009,56,1554,906,"15,4","78,5","1,3635"
1211,2004-04-30 05:00:00,multisensor1,ItalianCity,"0,8",1005,48,"4,5",738,68,1005,66,1563,917,"15,7","74,7","1,3194"
1212,2004-04-30 06:00:00,multisensor1,ItalianCity,"1,7",1206,111,"9,3",949,162,818,90,1771,1116,"15,9","73,1","1,3136"
1213,2004-04-30 07:00:00,multisensor1,ItalianCity,3,1458,345,"18,3",1249,213,662,111,2033,1380,"16,6","68,2","1,2737"
1214,2004-04-30 08:00:00,multisensor1,ItalianCity,"3,4",1405,332,"19,9",1295,161,638,103,2065,1378,"18,7","57,6","1,2323"
1215,2004-04-30 09:00:00,multisensor1,ItalianCity,"3,3",1381,344,"16,6",1199,209,685,117,1970,1365,"17,6","65,0","1,2945"
1216,2004-04-30 10:00:00,multisensor1,ItalianCity,"2,7",1315,212,"12,6",1072,191,736,116,1833,1273,"16,3","73,2","1,3458"
1217,2004-04-30 11:00:00,multisensor1,ItalianCity,"2,6",1332,166,"12,9",1082,215,707,109,1889,1242,"16,0","78,5","1,4209"
1218,2004-04-30 12:00:00,multisensor1,ItalianCity,"3,2",1362,214,"14,9",1145,212,673,116,1973,1294,"17,3","72,4","1,4125"
1219,2004-04-30 13:00:00,multisensor1,ItalianCity,"3,4",1399,377,"17,4",1222,202,643,115,2061,1413,"19,4","60,9","1,3545"
1220,2004-04-30 14:00:00,multisensor1,ItalianCity,"2,6",1310,210,"15,4",1160,153,695,94,1939,1224,"21,4","50,9","1,2823"
1221,2004-04-30 15:00:00,multisensor1,ItalianCity,"3,4",1399,265,"16,7",1201,185,699,121,1971,1318,"22,7","45,8","1,2465"
1222,2004-04-30 16:00:00,multisensor1,ItalianCity,4,1524,365,"18,0",1239,210,644,114,2139,1404,"20,9","60,8","1,4852"
1223,2004-04-30 17:00:00,multisensor1,ItalianCity,"4,5",1487,454,"19,2",1274,215,641,110,2133,1471,"21,0","54,3","1,3353"
1224,2004-04-30 18:00:00,multisensor1,ItalianCity,"4,2",1480,460,"21,0",1324,215,622,122,2162,1623,"20,8","54,4","1,3194"
1225,2004-04-30 19:00:00,multisensor1,ItalianCity,"5,7",1626,642,"26,9",1476,281,555,135,2356,1786,"19,8","58,6","1,3392"
1226,2004-04-30 20:00:00,multisensor1,ItalianCity,"4,4",1449,501,"19,5",1282,254,625,133,2100,1569,"19,1","61,1","1,3345"
1227,2004-04-30 21:00:00,multisensor1,ItalianCity,"3,1",1363,234,"15,1",1152,189,684,110,1951,1495,"18,2","65,4","1,3529"
1228,2004-04-30 22:00:00,multisensor1,ItalianCity,3,1371,212,"14,6",1136,174,689,102,1927,1471,"18,1","66,1","1,3579"
1229,2004-04-30 23:00:00,multisensor1,ItalianCity,"3,1",1406,275,"13,7",1107,167,718,108,1872,1384,"17,7","66,9","1,3422"
1230,2004-05-01 00:00:00,multisensor1,ItalianCity,"3,5",1425,275,"15,2",1155,185,709,110,1936,1789,"17,8","66,8","1,3460"
1231,2004-05-01 01:00:00,multisensor1,ItalianCity,"2,4",1179,-200,"9,3",951,129,826,84,1724,1323,"17,3","68,3","1,3346"
1232,2004-05-01 02:00:00,multisensor1,ItalianCity,"1,6",1047,-200,"6,5",833,85,939,71,1647,1081,"16,5","70,2","1,3099"
1233,2004-05-01 03:00:00,multisensor1,ItalianCity,"1,3",1009,-200,"6,3",825,-200,950,-200,1629,938,"15,7","73,1","1,2902"
1234,2004-05-01 04:00:00,multisensor1,ItalianCity,-200,882,-200,"3,5",685,35,1134,42,1492,673,"16,2","69,9","1,2756"
1235,2004-05-01 05:00:00,multisensor1,ItalianCity,"0,6",858,-200,"2,6",624,24,1205,32,1434,543,"16,7","67,1","1,2619"
1236,2004-05-01 06:00:00,multisensor1,ItalianCity,"0,7",875,-200,"3,1",659,30,1180,35,1452,561,"16,7","66,9","1,2631"
1237,2004-05-01 07:00:00,multisensor1,ItalianCity,"1,2",1012,-200,"6,5",833,75,916,67,1632,862,"16,9","66,5","1,2688"
1238,2004-05-01 08:00:00,multisensor1,ItalianCity,"1,5",1049,-200,"6,5",836,79,926,73,1615,901,"17,7","62,0","1,2458"
1239,2004-05-01 09:00:00,multisensor1,ItalianCity,"1,8",1131,-200,"8,8",932,104,854,86,1693,1048,"19,4","54,6","1,2184"
1240,2004-05-01 10:00:00,multisensor1,ItalianCity,"2,1",1120,-200,"8,8",931,118,886,89,1652,971,"21,6","46,1","1,1725"
1241,2004-05-01 11:00:00,multisensor1,ItalianCity,"1,9",1117,-200,"9,2",946,105,909,86,1657,915,"24,6","36,7","1,1202"
1242,2004-05-01 12:00:00,multisensor1,ItalianCity,2,1110,-200,"9,2",948,101,901,86,1632,891,"26,0","31,9","1,0566"
1243,2004-05-01 13:00:00,multisensor1,ItalianCity,"1,3",962,-200,"6,1",816,65,1044,66,1489,628,"25,6","31,5","1,0184"
1244,2004-05-01 14:00:00,multisensor1,ItalianCity,"1,3",963,-200,"6,5",835,59,1029,68,1495,556,"24,8","34,8","1,0716"
1245,2004-05-01 15:00:00,multisensor1,ItalianCity,"1,8",1050,-200,"9,2",948,80,928,82,1584,652,"26,1","30,3","1,0101"
1246,2004-05-01 16:00:00,multisensor1,ItalianCity,2,1053,-200,"8,3",911,98,949,91,1603,683,"25,5","33,5","1,0767"
1247,2004-05-01 17:00:00,multisensor1,ItalianCity,"1,8",1045,-200,"8,3",910,89,948,95,1598,624,"23,7","37,2","1,0746"
1248,2004-05-01 18:00:00,multisensor1,ItalianCity,"2,4",1124,-200,"11,0",1013,114,849,104,1676,733,"22,3","38,9","1,0324"
1249,2004-05-01 19:00:00,multisensor1,ItalianCity,4,1330,-200,"14,7",1140,195,759,131,1780,1062,"20,7","42,8","1,0298"
1250,2004-05-01 20:00:00,multisensor1,ItalianCity,"2,8",1171,-200,"10,8",1006,156,835,112,1674,988,"19,0","51,7","1,1222"
1251,2004-05-01 21:00:00,multisensor1,ItalianCity,2,1085,-200,"9,4",954,109,866,100,1656,871,"17,8","55,5","1,1174"
1252,2004-05-01 22:00:00,multisensor1,ItalianCity,"3,6",1358,-200,"14,8",1144,184,727,115,1851,1243,"17,4","57,6","1,1342"
1253,2004-05-01 23:00:00,multisensor1,ItalianCity,"3,7",1385,-200,"13,3",1094,190,765,129,1769,1175,"17,6","58,5","1,1645"
